spade-final-2026-08-23 · S2 · levy d=6 sigma=0.25 · tier=secondary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
[  77/1100] doe                  levy         seed=6   rows=12 (3.9m, eta 52m)
[  78/1100] spade_cf_m0          levy         seed=7   rows=12 (3.9m, eta 52m)
[  79/1100] spade_cf_m4          levy         seed=7   rows=12 (4.0m, eta 51m)
[  80/1100] spade_cf_m8          levy         seed=7   rows=12 (4.0m, eta 51m)
[  81/1100] spade_plate1_only    levy         seed=7   rows=12 (4.0m, eta 51m)
[  82/1100] spade_random_plate2  levy         seed=7   rows=12 (4.1m, eta 50m)
[  83/1100] sobol                levy         seed=7   rows=12 (4.1m, eta 50m)
[  84/1100] lhs                  levy         seed=7   rows=12 (4.1m, eta 50m)
[  85/1100] random               levy         seed=7   rows=12 (4.2m, eta 50m)
[  86/1100] qlognei              levy         seed=7   rows=12 (4.3m, eta 50m)
[  87/1100] qlogei               levy         seed=7   rows=12 (4.4m, eta 51m)
[  88/1100] doe                  levy         seed=7   rows=12 (4.4m, eta 51m)
[  89/1100] spade_cf_m0          levy         seed=8   rows=12 (4.5m, eta 51m)
[  90/1100] spade_cf_m4          levy         seed=8   rows=12 (4.5m, eta 51m)
[  91/1100] spade_cf_m8          levy         seed=8   rows=12 (4.6m, eta 51m)
[  92/1100] spade_plate1_only    levy         seed=8   rows=12 (4.6m, eta 50m)
[  93/1100] spade_random_plate2  levy         seed=8   rows=12 (4.6m, eta 50m)
[  94/1100] sobol                levy         seed=8   rows=12 (4.7m, eta 50m)
[  95/1100] lhs                  levy         seed=8   rows=12 (4.7m, eta 50m)
[  96/1100] random               levy         seed=8   rows=12 (4.8m, eta 50m)
[  97/1100] qlognei              levy         seed=8   rows=12 (5.0m, eta 51m)
[  98/1100] qlogei               levy         seed=8   rows=12 (5.1m, eta 52m)
[  99/1100] doe                  levy         seed=8   rows=12 (5.1m, eta 52m)
[ 100/1100] spade_cf_m0          levy         seed=9   rows=12 (5.2m, eta 52m)
[ 101/1100] spade_cf_m4          levy         seed=9   rows=12 (5.2m, eta 52m)/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .'), OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .'), OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .'), OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .'), OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)
/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed on the second try, after generating a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)

[ 102/1100] spade_cf_m8          levy         seed=9   rows=12 (5.2m, eta 51m)
[ 103/1100] spade_plate1_only    levy         seed=9   rows=12 (5.3m, eta 51m)
[ 104/1100] spade_random_plate2  levy         seed=9   rows=12 (5.3m, eta 51m)
[ 105/1100] sobol                levy         seed=9   rows=12 (5.3m, eta 51m)
[ 106/1100] lhs                  levy         seed=9   rows=12 (5.4m, eta 51m)
[ 107/1100] random               levy         seed=9   rows=12 (5.4m, eta 50m)
[ 108/1100] qlognei              levy         seed=9   rows=12 (5.6m, eta 52m)
[ 109/1100] qlogei               levy         seed=9   rows=12 (5.8m, eta 53m)
[ 110/1100] doe                  levy         seed=9   rows=12 (5.8m, eta 52m)
[ 111/1100] spade_cf_m0          levy         seed=10  rows=12 (5.9m, eta 52m)
[ 112/1100] spade_cf_m4          levy         seed=10  rows=12 (5.9m, eta 52m)
[ 113/1100] spade_cf_m8          levy         seed=10  rows=12 (5.9m, eta 52m)
[ 114/1100] spade_plate1_only    levy         seed=10  rows=12 (6.0m, eta 52m)
[ 115/1100] spade_random_plate2  levy         seed=10  rows=12 (6.0m, eta 51m)
[ 116/1100] sobol                levy         seed=10  rows=12 (6.0m, eta 51m)
[ 117/1100] lhs                  levy         seed=10  rows=12 (6.1m, eta 51m)
[ 118/1100] random               levy         seed=10  rows=12 (6.1m, eta 51m)
[ 119/1100] qlognei              levy         seed=10  rows=12 (6.2m, eta 51m)
[ 120/1100] qlogei               levy         seed=10  rows=12 (6.3m, eta 51m)
[ 121/1100] doe                  levy         seed=10  rows=12 (6.3m, eta 51m)
[ 122/1100] spade_cf_m0          levy         seed=11  rows=12 (6.4m, eta 51m)
[ 123/1100] spade_cf_m4          levy         seed=11  rows=12 (6.4m, eta 51m)
[ 124/1100] spade_cf_m8          levy         seed=11  rows=12 (6.5m, eta 51m)
[ 125/1100] spade_plate1_only    levy         seed=11  rows=12 (6.5m, eta 51m)
[ 126/1100] spade_random_plate2  levy         seed=11  rows=12 (6.5m, eta 51m)
[ 127/1100] sobol                levy         seed=11  rows=12 (6.6m, eta 50m)
[ 128/1100] lhs                  levy         seed=11  rows=12 (6.6m, eta 50m)
[ 129/1100] random               levy         seed=11  rows=12 (6.6m, eta 50m)
[ 130/1100] qlognei              levy         seed=11  rows=12 (6.7m, eta 50m)
[ 131/1100] qlogei               levy         seed=11  rows=12 (6.8m, eta 51m)
[ 132/1100] doe                  levy         seed=11  rows=12 (6.9m, eta 50m)
[ 133/1100] spade_cf_m0          levy         seed=12  rows=12 (6.9m, eta 50m)
[ 134/1100] spade_cf_m4          levy         seed=12  rows=12 (6.9m, eta 50m)
[ 135/1100] spade_cf_m8          levy         seed=12  rows=12 (7.0m, eta 50m)
[ 136/1100] spade_plate1_only    levy         seed=12  rows=12 (7.0m, eta 50m)
[ 137/1100] spade_random_plate2  levy         seed=12  rows=12 (7.0m, eta 49m)
[ 138/1100] sobol                levy         seed=12  rows=12 (7.1m, eta 49m)
[ 139/1100] lhs                  levy         seed=12  rows=12 (7.1m, eta 49m)
[ 140/1100] random               levy         seed=12  rows=12 (7.1m, eta 49m)
[ 141/1100] qlognei              levy         seed=12  rows=12 (7.3m, eta 50m)
[ 142/1100] qlogei               levy         seed=12  rows=12 (7.4m, eta 50m)
[ 143/1100] doe                  levy         seed=12  rows=12 (7.5m, eta 50m)
[ 144/1100] spade_cf_m0          levy         seed=13  rows=12 (7.5m, eta 50m)
[ 145/1100] spade_cf_m4          levy         seed=13  rows=12 (7.5m, eta 50m)
[ 146/1100] spade_cf_m8          levy         seed=13  rows=12 (7.6m, eta 50m)
[ 147/1100] spade_plate1_only    levy         seed=13  rows=12 (7.6m, eta 49m)
[ 148/1100] spade_random_plate2  levy         seed=13  rows=12 (7.7m, eta 49m)
[ 149/1100] sobol                levy         seed=13  rows=12 (7.7m, eta 49m)
[ 150/1100] lhs                  levy         seed=13  rows=12 (7.7m, eta 49m)
[ 151/1100] random               levy         seed=13  rows=12 (7.8m, eta 49m)
[ 152/1100] qlognei              levy         seed=13  rows=12 (7.9m, eta 49m)
[ 153/1100] qlogei               levy         seed=13  rows=12 (8.0m, eta 49m)
[ 154/1100] doe                  levy         seed=13  rows=12 (8.0m, eta 49m)
[ 155/1100] spade_cf_m0          levy         seed=14  rows=12 (8.0m, eta 49m)
[ 156/1100] spade_cf_m4          levy         seed=14  rows=12 (8.1m, eta 49m)
[ 157/1100] spade_cf_m8          levy         seed=14  rows=12 (8.1m, eta 49m)
[ 158/1100] spade_plate1_only    levy         seed=14  rows=12 (8.2m, eta 49m)
[ 159/1100] spade_random_plate2  levy         seed=14  rows=12 (8.2m, eta 49m)
[ 160/1100] sobol                levy         seed=14  rows=12 (8.2m, eta 48m)
[ 161/1100] lhs                  levy         seed=14  rows=12 (8.3m, eta 48m)
[ 162/1100] random               levy         seed=14  rows=12 (8.3m, eta 48m)
[ 163/1100] qlognei              levy         seed=14  rows=12 (8.5m, eta 49m)
[ 164/1100] qlogei               levy         seed=14  rows=12 (8.6m, eta 49m)
[ 165/1100] doe                  levy         seed=14  rows=12 (8.7m, eta 49m)
[ 166/1100] spade_cf_m0          levy         seed=15  rows=12 (8.7m, eta 49m)
[ 167/1100] spade_cf_m4          levy         seed=15  rows=12 (8.7m, eta 49m)
[ 168/1100] spade_cf_m8          levy         seed=15  rows=12 (8.8m, eta 49m)
[ 169/1100] spade_plate1_only    levy         seed=15  rows=12 (8.8m, eta 48m)
[ 170/1100] spade_random_plate2  levy         seed=15  rows=12 (8.8m, eta 48m)
[ 171/1100] sobol                levy         seed=15  rows=12 (8.9m, eta 48m)
[ 172/1100] lhs                  levy         seed=15  rows=12 (8.9m, eta 48m)
[ 173/1100] random               levy         seed=15  rows=12 (8.9m, eta 48m)
[ 174/1100] qlognei              levy         seed=15  rows=12 (9.0m, eta 48m)
[ 175/1100] qlogei               levy         seed=15  rows=12 (9.1m, eta 48m)
[ 176/1100] doe                  levy         seed=15  rows=12 (9.1m, eta 48m)
[ 177/1100] spade_cf_m0          levy         seed=16  rows=12 (9.2m, eta 48m)
[ 178/1100] spade_cf_m4          levy         seed=16  rows=12 (9.2m, eta 48m)
[ 179/1100] spade_cf_m8          levy         seed=16  rows=12 (9.2m, eta 48m)
[ 180/1100] spade_plate1_only    levy         seed=16  rows=12 (9.3m, eta 47m)
[ 181/1100] spade_random_plate2  levy         seed=16  rows=12 (9.3m, eta 47m)
[ 182/1100] sobol                levy         seed=16  rows=12 (9.3m, eta 47m)
[ 183/1100] lhs                  levy         seed=16  rows=12 (9.4m, eta 47m)
[ 184/1100] random               levy         seed=16  rows=12 (9.4m, eta 47m)
[ 185/1100] qlognei              levy         seed=16  rows=12 (9.5m, eta 47m)
[ 186/1100] qlogei               levy         seed=16  rows=12 (9.6m, eta 47m)
[ 187/1100] doe                  levy         seed=16  rows=12 (9.6m, eta 47m)
[ 188/1100] spade_cf_m0          levy         seed=17  rows=12 (9.7m, eta 47m)
[ 189/1100] spade_cf_m4          levy         seed=17  rows=12 (9.7m, eta 47m)
[ 190/1100] spade_cf_m8          levy         seed=17  rows=12 (9.7m, eta 47m)
[ 191/1100] spade_plate1_only    levy         seed=17  rows=12 (9.8m, eta 46m)
[ 192/1100] spade_random_plate2  levy         seed=17  rows=12 (9.8m, eta 46m)
[ 193/1100] sobol                levy         seed=17  rows=12 (9.8m, eta 46m)
[ 194/1100] lhs                  levy         seed=17  rows=12 (9.8m, eta 46m)
[ 195/1100] random               levy         seed=17  rows=12 (9.9m, eta 46m)
[ 196/1100] qlognei              levy         seed=17  rows=12 (10.0m, eta 46m)
[ 197/1100] qlogei               levy         seed=17  rows=12 (10.1m, eta 46m)
[ 198/1100] doe                  levy         seed=17  rows=12 (10.1m, eta 46m)
[ 199/1100] spade_cf_m0          levy         seed=18  rows=12 (10.1m, eta 46m)
[ 200/1100] spade_cf_m4          levy         seed=18  rows=12 (10.2m, eta 46m)
[ 201/1100] spade_cf_m8          levy         seed=18  rows=12 (10.2m, eta 46m)
[ 202/1100] spade_plate1_only    levy         seed=18  rows=12 (10.2m, eta 45m)
[ 203/1100] spade_random_plate2  levy         seed=18  rows=12 (10.2m, eta 45m)
[ 204/1100] sobol                levy         seed=18  rows=12 (10.3m, eta 45m)
[ 205/1100] lhs                  levy         seed=18  rows=12 (10.3m, eta 45m)/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)
/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed on the second try, after generating a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)
/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[NumericalWarning('A not p.d., added jitter of 1.0e-08 to the diagonal'), OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)

[ 206/1100] random               levy         seed=18  rows=12 (10.3m, eta 45m)
[ 207/1100] qlognei              levy         seed=18  rows=12 (10.4m, eta 45m)
[ 208/1100] qlogei               levy         seed=18  rows=12 (10.5m, eta 45m)
[ 209/1100] doe                  levy         seed=18  rows=12 (10.5m, eta 45m)
[ 210/1100] spade_cf_m0          levy         seed=19  rows=12 (10.6m, eta 45m)
[ 211/1100] spade_cf_m4          levy         seed=19  rows=12 (10.6m, eta 45m)
[ 212/1100] spade_cf_m8          levy         seed=19  rows=12 (10.6m, eta 44m)
[ 213/1100] spade_plate1_only    levy         seed=19  rows=12 (10.6m, eta 44m)
[ 214/1100] spade_random_plate2  levy         seed=19  rows=12 (10.7m, eta 44m)
[ 215/1100] sobol                levy         seed=19  rows=12 (10.7m, eta 44m)
[ 216/1100] lhs                  levy         seed=19  rows=12 (10.7m, eta 44m)
[ 217/1100] random               levy         seed=19  rows=12 (10.7m, eta 44m)
[ 218/1100] qlognei              levy         seed=19  rows=12 (10.9m, eta 44m)
[ 219/1100] qlogei               levy         seed=19  rows=12 (11.0m, eta 44m)
[ 220/1100] doe                  levy         seed=19  rows=12 (11.1m, eta 44m)
[ 221/1100] spade_cf_m0          levy         seed=20  rows=12 (11.1m, eta 44m)
[ 222/1100] spade_cf_m4          levy         seed=20  rows=12 (11.1m, eta 44m)
[ 223/1100] spade_cf_m8          levy         seed=20  rows=12 (11.2m, eta 44m)
[ 224/1100] spade_plate1_only    levy         seed=20  rows=12 (11.2m, eta 44m)
[ 225/1100] spade_random_plate2  levy         seed=20  rows=12 (11.2m, eta 44m)
[ 226/1100] sobol                levy         seed=20  rows=12 (11.2m, eta 43m)
[ 227/1100] lhs                  levy         seed=20  rows=12 (11.3m, eta 43m)
[ 228/1100] random               levy         seed=20  rows=12 (11.3m, eta 43m)
[ 229/1100] qlognei              levy         seed=20  rows=12 (11.4m, eta 44m)
[ 230/1100] qlogei               levy         seed=20  rows=12 (11.6m, eta 44m)
[ 231/1100] doe                  levy         seed=20  rows=12 (11.6m, eta 44m)
[ 232/1100] spade_cf_m0          levy         seed=21  rows=12 (11.7m, eta 44m)
[ 233/1100] spade_cf_m4          levy         seed=21  rows=12 (11.7m, eta 44m)
[ 234/1100] spade_cf_m8          levy         seed=21  rows=12 (11.7m, eta 43m)
[ 235/1100] spade_plate1_only    levy         seed=21  rows=12 (11.8m, eta 43m)
[ 236/1100] spade_random_plate2  levy         seed=21  rows=12 (11.8m, eta 43m)
[ 237/1100] sobol                levy         seed=21  rows=12 (11.8m, eta 43m)
[ 238/1100] lhs                  levy         seed=21  rows=12 (11.8m, eta 43m)
[ 239/1100] random               levy         seed=21  rows=12 (11.9m, eta 43m)
[ 240/1100] qlognei              levy         seed=21  rows=12 (12.0m, eta 43m)
[ 241/1100] qlogei               levy         seed=21  rows=12 (12.1m, eta 43m)
[ 242/1100] doe                  levy         seed=21  rows=12 (12.1m, eta 43m)
[ 243/1100] spade_cf_m0          levy         seed=22  rows=12 (12.1m, eta 43m)
[ 244/1100] spade_cf_m4          levy         seed=22  rows=12 (12.2m, eta 43m)
[ 245/1100] spade_cf_m8          levy         seed=22  rows=12 (12.2m, eta 43m)
[ 246/1100] spade_plate1_only    levy         seed=22  rows=12 (12.2m, eta 42m)
[ 247/1100] spade_random_plate2  levy         seed=22  rows=12 (12.3m, eta 42m)
[ 248/1100] sobol                levy         seed=22  rows=12 (12.3m, eta 42m)
[ 249/1100] lhs                  levy         seed=22  rows=12 (12.3m, eta 42m)
[ 250/1100] random               levy         seed=22  rows=12 (12.4m, eta 42m)
[ 251/1100] qlognei              levy         seed=22  rows=12 (12.5m, eta 42m)
[ 252/1100] qlogei               levy         seed=22  rows=12 (12.5m, eta 42m)
[ 253/1100] doe                  levy         seed=22  rows=12 (12.6m, eta 42m)
[ 254/1100] spade_cf_m0          levy         seed=23  rows=12 (12.6m, eta 42m)
[ 255/1100] spade_cf_m4          levy         seed=23  rows=12 (12.6m, eta 42m)
[ 256/1100] spade_cf_m8          levy         seed=23  rows=12 (12.6m, eta 42m)
[ 257/1100] spade_plate1_only    levy         seed=23  rows=12 (12.7m, eta 42m)
[ 258/1100] spade_random_plate2  levy         seed=23  rows=12 (12.7m, eta 41m)
[ 259/1100] sobol                levy         seed=23  rows=12 (12.7m, eta 41m)
[ 260/1100] lhs                  levy         seed=23  rows=12 (12.8m, eta 41m)
[ 261/1100] random               levy         seed=23  rows=12 (12.8m, eta 41m)
[ 262/1100] qlognei              levy         seed=23  rows=12 (12.9m, eta 41m)
[ 263/1100] qlogei               levy         seed=23  rows=12 (13.1m, eta 42m)
[ 264/1100] doe                  levy         seed=23  rows=12 (13.1m, eta 41m)
[ 265/1100] spade_cf_m0          levy         seed=24  rows=12 (13.1m, eta 41m)
[ 266/1100] spade_cf_m4          levy         seed=24  rows=12 (13.1m, eta 41m)
[ 267/1100] spade_cf_m8          levy         seed=24  rows=12 (13.2m, eta 41m)
[ 268/1100] spade_plate1_only    levy         seed=24  rows=12 (13.2m, eta 41m)
[ 269/1100] spade_random_plate2  levy         seed=24  rows=12 (13.2m, eta 41m)
[ 270/1100] sobol                levy         seed=24  rows=12 (13.2m, eta 41m)
[ 271/1100] lhs                  levy         seed=24  rows=12 (13.3m, eta 41m)
[ 272/1100] random               levy         seed=24  rows=12 (13.3m, eta 40m)
[ 273/1100] qlognei              levy         seed=24  rows=12 (13.4m, eta 41m)
[ 274/1100] qlogei               levy         seed=24  rows=12 (13.5m, eta 41m)
[ 275/1100] doe                  levy         seed=24  rows=12 (13.6m, eta 41m)
[ 276/1100] spade_cf_m0          levy         seed=25  rows=12 (13.6m, eta 41m)
[ 277/1100] spade_cf_m4          levy         seed=25  rows=12 (13.6m, eta 41m)
[ 278/1100] spade_cf_m8          levy         seed=25  rows=12 (13.7m, eta 40m)
[ 279/1100] spade_plate1_only    levy         seed=25  rows=12 (13.7m, eta 40m)
[ 280/1100] spade_random_plate2  levy         seed=25  rows=12 (13.8m, eta 40m)
[ 281/1100] sobol                levy         seed=25  rows=12 (13.8m, eta 40m)
[ 282/1100] lhs                  levy         seed=25  rows=12 (13.8m, eta 40m)
[ 283/1100] random               levy         seed=25  rows=12 (13.8m, eta 40m)
[ 284/1100] qlognei              levy         seed=25  rows=12 (13.9m, eta 40m)
[ 285/1100] qlogei               levy         seed=25  rows=12 (14.0m, eta 40m)
[ 286/1100] doe                  levy         seed=25  rows=12 (14.1m, eta 40m)
[ 287/1100] spade_cf_m0          levy         seed=26  rows=12 (14.1m, eta 40m)
[ 288/1100] spade_cf_m4          levy         seed=26  rows=12 (14.2m, eta 40m)
[ 289/1100] spade_cf_m8          levy         seed=26  rows=12 (14.2m, eta 40m)
[ 290/1100] spade_plate1_only    levy         seed=26  rows=12 (14.2m, eta 40m)
[ 291/1100] spade_random_plate2  levy         seed=26  rows=12 (14.3m, eta 40m)
[ 292/1100] sobol                levy         seed=26  rows=12 (14.3m, eta 40m)
[ 293/1100] lhs                  levy         seed=26  rows=12 (14.4m, eta 40m)
[ 294/1100] random               levy         seed=26  rows=12 (14.4m, eta 39m)
[ 295/1100] qlognei              levy         seed=26  rows=12 (14.5m, eta 40m)
[ 296/1100] qlogei               levy         seed=26  rows=12 (14.6m, eta 40m)
[ 297/1100] doe                  levy         seed=26  rows=12 (14.6m, eta 40m)
[ 298/1100] spade_cf_m0          levy         seed=27  rows=12 (14.7m, eta 39m)
[ 299/1100] spade_cf_m4          levy         seed=27  rows=12 (14.7m, eta 39m)
[ 300/1100] spade_cf_m8          levy         seed=27  rows=12 (14.7m, eta 39m)
[ 301/1100] spade_plate1_only    levy         seed=27  rows=12 (14.8m, eta 39m)
[ 302/1100] spade_random_plate2  levy         seed=27  rows=12 (14.8m, eta 39m)
[ 303/1100] sobol                levy         seed=27  rows=12 (14.8m, eta 39m)
[ 304/1100] lhs                  levy         seed=27  rows=12 (14.9m, eta 39m)
[ 305/1100] random               levy         seed=27  rows=12 (14.9m, eta 39m)
[ 306/1100] qlognei              levy         seed=27  rows=12 (15.0m, eta 39m)
[ 307/1100] qlogei               levy         seed=27  rows=12 (15.1m, eta 39m)
[ 308/1100] doe                  levy         seed=27  rows=12 (15.2m, eta 39m)/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .'), OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)
/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed on the second try, after generating a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)
