spade-final-2026-08-23 · C3 · hartmann6 d=6 sigma=0.25 · tier=primary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
[  71/1100] spade_random_plate2  hartmann6    seed=6   rows=12 (3.5m, eta 51m)
[  72/1100] sobol                hartmann6    seed=6   rows=12 (3.5m, eta 50m)
[  73/1100] lhs                  hartmann6    seed=6   rows=12 (3.5m, eta 50m)
[  74/1100] random               hartmann6    seed=6   rows=12 (3.6m, eta 49m)
[  75/1100] qlognei              hartmann6    seed=6   rows=12 (3.7m, eta 51m)
[  76/1100] qlogei               hartmann6    seed=6   rows=12 (3.8m, eta 52m)
[  77/1100] doe                  hartmann6    seed=6   rows=12 (3.9m, eta 51m)
[  78/1100] spade_cf_m0          hartmann6    seed=7   rows=12 (3.9m, eta 51m)
[  79/1100] spade_cf_m4          hartmann6    seed=7   rows=12 (3.9m, eta 51m)
[  80/1100] spade_cf_m8          hartmann6    seed=7   rows=12 (3.9m, eta 50m)
[  81/1100] spade_plate1_only    hartmann6    seed=7   rows=12 (4.0m, eta 50m)
[  82/1100] spade_random_plate2  hartmann6    seed=7   rows=12 (4.0m, eta 50m)
[  83/1100] sobol                hartmann6    seed=7   rows=12 (4.0m, eta 49m)
[  84/1100] lhs                  hartmann6    seed=7   rows=12 (4.1m, eta 49m)
[  85/1100] random               hartmann6    seed=7   rows=12 (4.1m, eta 49m)
[  86/1100] qlognei              hartmann6    seed=7   rows=12 (4.3m, eta 51m)
[  87/1100] qlogei               hartmann6    seed=7   rows=12 (4.4m, eta 51m)
[  88/1100] doe                  hartmann6    seed=7   rows=12 (4.5m, eta 51m)
[  89/1100] spade_cf_m0          hartmann6    seed=8   rows=12 (4.5m, eta 51m)
[  90/1100] spade_cf_m4          hartmann6    seed=8   rows=12 (4.5m, eta 51m)
[  91/1100] spade_cf_m8          hartmann6    seed=8   rows=12 (4.6m, eta 51m)
[  92/1100] spade_plate1_only    hartmann6    seed=8   rows=12 (4.6m, eta 50m)
[  93/1100] spade_random_plate2  hartmann6    seed=8   rows=12 (4.6m, eta 50m)
[  94/1100] sobol                hartmann6    seed=8   rows=12 (4.7m, eta 50m)
[  95/1100] lhs                  hartmann6    seed=8   rows=12 (4.7m, eta 50m)
[  96/1100] random               hartmann6    seed=8   rows=12 (4.7m, eta 49m)
[  97/1100] qlognei              hartmann6    seed=8   rows=12 (4.9m, eta 51m)
[  98/1100] qlogei               hartmann6    seed=8   rows=12 (5.1m, eta 52m)
[  99/1100] doe                  hartmann6    seed=8   rows=12 (5.1m, eta 52m)
[ 100/1100] spade_cf_m0          hartmann6    seed=9   rows=12 (5.2m, eta 52m)
[ 101/1100] spade_cf_m4          hartmann6    seed=9   rows=12 (5.2m, eta 51m)
[ 102/1100] spade_cf_m8          hartmann6    seed=9   rows=12 (5.2m, eta 51m)
[ 103/1100] spade_plate1_only    hartmann6    seed=9   rows=12 (5.3m, eta 51m)
[ 104/1100] spade_random_plate2  hartmann6    seed=9   rows=12 (5.3m, eta 51m)
[ 105/1100] sobol                hartmann6    seed=9   rows=12 (5.3m, eta 51m)
[ 106/1100] lhs                  hartmann6    seed=9   rows=12 (5.4m, eta 50m)
[ 107/1100] random               hartmann6    seed=9   rows=12 (5.4m, eta 50m)
[ 108/1100] qlognei              hartmann6    seed=9   rows=12 (5.5m, eta 51m)
[ 109/1100] qlogei               hartmann6    seed=9   rows=12 (5.6m, eta 51m)
[ 110/1100] doe                  hartmann6    seed=9   rows=12 (5.7m, eta 51m)
[ 111/1100] spade_cf_m0          hartmann6    seed=10  rows=12 (5.7m, eta 51m)
[ 112/1100] spade_cf_m4          hartmann6    seed=10  rows=12 (5.7m, eta 51m)
[ 113/1100] spade_cf_m8          hartmann6    seed=10  rows=12 (5.8m, eta 50m)
[ 114/1100] spade_plate1_only    hartmann6    seed=10  rows=12 (5.8m, eta 50m)
[ 115/1100] spade_random_plate2  hartmann6    seed=10  rows=12 (5.8m, eta 50m)
[ 116/1100] sobol                hartmann6    seed=10  rows=12 (5.8m, eta 50m)
[ 117/1100] lhs                  hartmann6    seed=10  rows=12 (5.9m, eta 49m)
[ 118/1100] random               hartmann6    seed=10  rows=12 (5.9m, eta 49m)
[ 119/1100] qlognei              hartmann6    seed=10  rows=12 (6.1m, eta 50m)
[ 120/1100] qlogei               hartmann6    seed=10  rows=12 (6.1m, eta 50m)
[ 121/1100] doe                  hartmann6    seed=10  rows=12 (6.2m, eta 50m)
[ 122/1100] spade_cf_m0          hartmann6    seed=11  rows=12 (6.2m, eta 50m)
[ 123/1100] spade_cf_m4          hartmann6    seed=11  rows=12 (6.2m, eta 49m)
[ 124/1100] spade_cf_m8          hartmann6    seed=11  rows=12 (6.3m, eta 49m)
[ 125/1100] spade_plate1_only    hartmann6    seed=11  rows=12 (6.3m, eta 49m)
[ 126/1100] spade_random_plate2  hartmann6    seed=11  rows=12 (6.3m, eta 49m)
[ 127/1100] sobol                hartmann6    seed=11  rows=12 (6.3m, eta 49m)
[ 128/1100] lhs                  hartmann6    seed=11  rows=12 (6.4m, eta 48m)
[ 129/1100] random               hartmann6    seed=11  rows=12 (6.4m, eta 48m)
[ 130/1100] qlognei              hartmann6    seed=11  rows=12 (6.5m, eta 49m)
[ 131/1100] qlogei               hartmann6    seed=11  rows=12 (6.6m, eta 49m)
[ 132/1100] doe                  hartmann6    seed=11  rows=12 (6.6m, eta 49m)
[ 133/1100] spade_cf_m0          hartmann6    seed=12  rows=12 (6.7m, eta 48m)
[ 134/1100] spade_cf_m4          hartmann6    seed=12  rows=12 (6.7m, eta 48m)
[ 135/1100] spade_cf_m8          hartmann6    seed=12  rows=12 (6.7m, eta 48m)
[ 136/1100] spade_plate1_only    hartmann6    seed=12  rows=12 (6.7m, eta 48m)
[ 137/1100] spade_random_plate2  hartmann6    seed=12  rows=12 (6.8m, eta 48m)
[ 138/1100] sobol                hartmann6    seed=12  rows=12 (6.8m, eta 47m)
[ 139/1100] lhs                  hartmann6    seed=12  rows=12 (6.8m, eta 47m)
[ 140/1100] random               hartmann6    seed=12  rows=12 (6.8m, eta 47m)
[ 141/1100] qlognei              hartmann6    seed=12  rows=12 (7.0m, eta 48m)
[ 142/1100] qlogei               hartmann6    seed=12  rows=12 (7.1m, eta 48m)
[ 143/1100] doe                  hartmann6    seed=12  rows=12 (7.1m, eta 48m)
[ 144/1100] spade_cf_m0          hartmann6    seed=13  rows=12 (7.2m, eta 48m)
[ 145/1100] spade_cf_m4          hartmann6    seed=13  rows=12 (7.2m, eta 47m)
[ 146/1100] spade_cf_m8          hartmann6    seed=13  rows=12 (7.2m, eta 47m)
[ 147/1100] spade_plate1_only    hartmann6    seed=13  rows=12 (7.3m, eta 47m)
[ 148/1100] spade_random_plate2  hartmann6    seed=13  rows=12 (7.3m, eta 47m)
[ 149/1100] sobol                hartmann6    seed=13  rows=12 (7.3m, eta 47m)
[ 150/1100] lhs                  hartmann6    seed=13  rows=12 (7.3m, eta 46m)
[ 151/1100] random               hartmann6    seed=13  rows=12 (7.4m, eta 46m)
[ 152/1100] qlognei              hartmann6    seed=13  rows=12 (7.5m, eta 47m)
[ 153/1100] qlogei               hartmann6    seed=13  rows=12 (7.6m, eta 47m)
[ 154/1100] doe                  hartmann6    seed=13  rows=12 (7.7m, eta 47m)
[ 155/1100] spade_cf_m0          hartmann6    seed=14  rows=12 (7.7m, eta 47m)
[ 156/1100] spade_cf_m4          hartmann6    seed=14  rows=12 (7.7m, eta 47m)
[ 157/1100] spade_cf_m8          hartmann6    seed=14  rows=12 (7.8m, eta 47m)
[ 158/1100] spade_plate1_only    hartmann6    seed=14  rows=12 (7.8m, eta 47m)
[ 159/1100] spade_random_plate2  hartmann6    seed=14  rows=12 (7.8m, eta 46m)
[ 160/1100] sobol                hartmann6    seed=14  rows=12 (7.9m, eta 46m)
[ 161/1100] lhs                  hartmann6    seed=14  rows=12 (7.9m, eta 46m)
[ 162/1100] random               hartmann6    seed=14  rows=12 (7.9m, eta 46m)
[ 163/1100] qlognei              hartmann6    seed=14  rows=12 (8.1m, eta 47m)
[ 164/1100] qlogei               hartmann6    seed=14  rows=12 (8.2m, eta 47m)
[ 165/1100] doe                  hartmann6    seed=14  rows=12 (8.2m, eta 47m)
[ 166/1100] spade_cf_m0          hartmann6    seed=15  rows=12 (8.3m, eta 47m)
[ 167/1100] spade_cf_m4          hartmann6    seed=15  rows=12 (8.3m, eta 46m)
[ 168/1100] spade_cf_m8          hartmann6    seed=15  rows=12 (8.3m, eta 46m)
[ 169/1100] spade_plate1_only    hartmann6    seed=15  rows=12 (8.4m, eta 46m)
[ 170/1100] spade_random_plate2  hartmann6    seed=15  rows=12 (8.4m, eta 46m)
[ 171/1100] sobol                hartmann6    seed=15  rows=12 (8.4m, eta 46m)
[ 172/1100] lhs                  hartmann6    seed=15  rows=12 (8.5m, eta 46m)
[ 173/1100] random               hartmann6    seed=15  rows=12 (8.5m, eta 45m)
[ 174/1100] qlognei              hartmann6    seed=15  rows=12 (8.6m, eta 46m)
[ 175/1100] qlogei               hartmann6    seed=15  rows=12 (8.8m, eta 46m)
[ 176/1100] doe                  hartmann6    seed=15  rows=12 (8.8m, eta 46m)
[ 177/1100] spade_cf_m0          hartmann6    seed=16  rows=12 (8.8m, eta 46m)
[ 178/1100] spade_cf_m4          hartmann6    seed=16  rows=12 (8.9m, eta 46m)
[ 179/1100] spade_cf_m8          hartmann6    seed=16  rows=12 (8.9m, eta 46m)
[ 180/1100] spade_plate1_only    hartmann6    seed=16  rows=12 (8.9m, eta 46m)
[ 181/1100] spade_random_plate2  hartmann6    seed=16  rows=12 (9.0m, eta 45m)
[ 182/1100] sobol                hartmann6    seed=16  rows=12 (9.0m, eta 45m)
[ 183/1100] lhs                  hartmann6    seed=16  rows=12 (9.0m, eta 45m)
[ 184/1100] random               hartmann6    seed=16  rows=12 (9.0m, eta 45m)
[ 185/1100] qlognei              hartmann6    seed=16  rows=12 (9.3m, eta 46m)
[ 186/1100] qlogei               hartmann6    seed=16  rows=12 (9.4m, eta 46m)
[ 187/1100] doe                  hartmann6    seed=16  rows=12 (9.4m, eta 46m)
[ 188/1100] spade_cf_m0          hartmann6    seed=17  rows=12 (9.4m, eta 46m)
[ 189/1100] spade_cf_m4          hartmann6    seed=17  rows=12 (9.5m, eta 46m)
[ 190/1100] spade_cf_m8          hartmann6    seed=17  rows=12 (9.5m, eta 46m)
[ 191/1100] spade_plate1_only    hartmann6    seed=17  rows=12 (9.6m, eta 46m)
[ 192/1100] spade_random_plate2  hartmann6    seed=17  rows=12 (9.6m, eta 45m)
[ 193/1100] sobol                hartmann6    seed=17  rows=12 (9.6m, eta 45m)
[ 194/1100] lhs                  hartmann6    seed=17  rows=12 (9.7m, eta 45m)
[ 195/1100] random               hartmann6    seed=17  rows=12 (9.7m, eta 45m)
[ 196/1100] qlognei              hartmann6    seed=17  rows=12 (9.9m, eta 46m)
[ 197/1100] qlogei               hartmann6    seed=17  rows=12 (10.0m, eta 46m)
[ 198/1100] doe                  hartmann6    seed=17  rows=12 (10.0m, eta 46m)
[ 199/1100] spade_cf_m0          hartmann6    seed=18  rows=12 (10.1m, eta 46m)
[ 200/1100] spade_cf_m4          hartmann6    seed=18  rows=12 (10.1m, eta 45m)
[ 201/1100] spade_cf_m8          hartmann6    seed=18  rows=12 (10.2m, eta 45m)
[ 202/1100] spade_plate1_only    hartmann6    seed=18  rows=12 (10.2m, eta 45m)
[ 203/1100] spade_random_plate2  hartmann6    seed=18  rows=12 (10.2m, eta 45m)
[ 204/1100] sobol                hartmann6    seed=18  rows=12 (10.3m, eta 45m)
[ 205/1100] lhs                  hartmann6    seed=18  rows=12 (10.3m, eta 45m)
[ 206/1100] random               hartmann6    seed=18  rows=12 (10.3m, eta 45m)
[ 207/1100] qlognei              hartmann6    seed=18  rows=12 (10.5m, eta 45m)
[ 208/1100] qlogei               hartmann6    seed=18  rows=12 (10.6m, eta 46m)
[ 209/1100] doe                  hartmann6    seed=18  rows=12 (10.7m, eta 45m)
[ 210/1100] spade_cf_m0          hartmann6    seed=19  rows=12 (10.7m, eta 45m)
[ 211/1100] spade_cf_m4          hartmann6    seed=19  rows=12 (10.7m, eta 45m)
[ 212/1100] spade_cf_m8          hartmann6    seed=19  rows=12 (10.8m, eta 45m)
[ 213/1100] spade_plate1_only    hartmann6    seed=19  rows=12 (10.8m, eta 45m)
[ 214/1100] spade_random_plate2  hartmann6    seed=19  rows=12 (10.9m, eta 45m)
[ 215/1100] sobol                hartmann6    seed=19  rows=12 (10.9m, eta 45m)
[ 216/1100] lhs                  hartmann6    seed=19  rows=12 (10.9m, eta 45m)
[ 217/1100] random               hartmann6    seed=19  rows=12 (10.9m, eta 45m)
[ 218/1100] qlognei              hartmann6    seed=19  rows=12 (11.2m, eta 45m)
[ 219/1100] qlogei               hartmann6    seed=19  rows=12 (11.3m, eta 46m)
[ 220/1100] doe                  hartmann6    seed=19  rows=12 (11.4m, eta 45m)
[ 221/1100] spade_cf_m0          hartmann6    seed=20  rows=12 (11.4m, eta 45m)
[ 222/1100] spade_cf_m4          hartmann6    seed=20  rows=12 (11.4m, eta 45m)
[ 223/1100] spade_cf_m8          hartmann6    seed=20  rows=12 (11.5m, eta 45m)
[ 224/1100] spade_plate1_only    hartmann6    seed=20  rows=12 (11.5m, eta 45m)
[ 225/1100] spade_random_plate2  hartmann6    seed=20  rows=12 (11.5m, eta 45m)
[ 226/1100] sobol                hartmann6    seed=20  rows=12 (11.6m, eta 45m)
[ 227/1100] lhs                  hartmann6    seed=20  rows=12 (11.6m, eta 45m)
[ 228/1100] random               hartmann6    seed=20  rows=12 (11.6m, eta 44m)
[ 229/1100] qlognei              hartmann6    seed=20  rows=12 (11.8m, eta 45m)
[ 230/1100] qlogei               hartmann6    seed=20  rows=12 (11.9m, eta 45m)
[ 231/1100] doe                  hartmann6    seed=20  rows=12 (11.9m, eta 45m)
[ 232/1100] spade_cf_m0          hartmann6    seed=21  rows=12 (12.0m, eta 45m)
[ 233/1100] spade_cf_m4          hartmann6    seed=21  rows=12 (12.0m, eta 45m)
[ 234/1100] spade_cf_m8          hartmann6    seed=21  rows=12 (12.0m, eta 45m)
[ 235/1100] spade_plate1_only    hartmann6    seed=21  rows=12 (12.1m, eta 44m)
[ 236/1100] spade_random_plate2  hartmann6    seed=21  rows=12 (12.1m, eta 44m)
[ 237/1100] sobol                hartmann6    seed=21  rows=12 (12.2m, eta 44m)
[ 238/1100] lhs                  hartmann6    seed=21  rows=12 (12.2m, eta 44m)
[ 239/1100] random               hartmann6    seed=21  rows=12 (12.2m, eta 44m)
[ 240/1100] qlognei              hartmann6    seed=21  rows=12 (12.4m, eta 45m)
[ 241/1100] qlogei               hartmann6    seed=21  rows=12 (12.6m, eta 45m)
[ 242/1100] doe                  hartmann6    seed=21  rows=12 (12.7m, eta 45m)
[ 243/1100] spade_cf_m0          hartmann6    seed=22  rows=12 (12.7m, eta 45m)
[ 244/1100] spade_cf_m4          hartmann6    seed=22  rows=12 (12.7m, eta 45m)
[ 245/1100] spade_cf_m8          hartmann6    seed=22  rows=12 (12.8m, eta 45m)
[ 246/1100] spade_plate1_only    hartmann6    seed=22  rows=12 (12.8m, eta 45m)
[ 247/1100] spade_random_plate2  hartmann6    seed=22  rows=12 (12.9m, eta 44m)
[ 248/1100] sobol                hartmann6    seed=22  rows=12 (12.9m, eta 44m)
[ 249/1100] lhs                  hartmann6    seed=22  rows=12 (12.9m, eta 44m)
[ 250/1100] random               hartmann6    seed=22  rows=12 (13.0m, eta 44m)
[ 251/1100] qlognei              hartmann6    seed=22  rows=12 (13.1m, eta 44m)
[ 252/1100] qlogei               hartmann6    seed=22  rows=12 (13.3m, eta 45m)
[ 253/1100] doe                  hartmann6    seed=22  rows=12 (13.3m, eta 45m)
[ 254/1100] spade_cf_m0          hartmann6    seed=23  rows=12 (13.4m, eta 44m)
[ 255/1100] spade_cf_m4          hartmann6    seed=23  rows=12 (13.4m, eta 44m)
[ 256/1100] spade_cf_m8          hartmann6    seed=23  rows=12 (13.4m, eta 44m)
[ 257/1100] spade_plate1_only    hartmann6    seed=23  rows=12 (13.4m, eta 44m)
[ 258/1100] spade_random_plate2  hartmann6    seed=23  rows=12 (13.5m, eta 44m)
[ 259/1100] sobol                hartmann6    seed=23  rows=12 (13.5m, eta 44m)
[ 260/1100] lhs                  hartmann6    seed=23  rows=12 (13.5m, eta 44m)
[ 261/1100] random               hartmann6    seed=23  rows=12 (13.6m, eta 44m)
[ 262/1100] qlognei              hartmann6    seed=23  rows=12 (13.8m, eta 44m)
[ 263/1100] qlogei               hartmann6    seed=23  rows=12 (14.0m, eta 45m)
[ 264/1100] doe                  hartmann6    seed=23  rows=12 (14.0m, eta 44m)
[ 265/1100] spade_cf_m0          hartmann6    seed=24  rows=12 (14.1m, eta 44m)
[ 266/1100] spade_cf_m4          hartmann6    seed=24  rows=12 (14.1m, eta 44m)
[ 267/1100] spade_cf_m8          hartmann6    seed=24  rows=12 (14.1m, eta 44m)
[ 268/1100] spade_plate1_only    hartmann6    seed=24  rows=12 (14.2m, eta 44m)
[ 269/1100] spade_random_plate2  hartmann6    seed=24  rows=12 (14.2m, eta 44m)
[ 270/1100] sobol                hartmann6    seed=24  rows=12 (14.2m, eta 44m)
[ 271/1100] lhs                  hartmann6    seed=24  rows=12 (14.3m, eta 44m)
[ 272/1100] random               hartmann6    seed=24  rows=12 (14.3m, eta 44m)
[ 273/1100] qlognei              hartmann6    seed=24  rows=12 (14.5m, eta 44m)
[ 274/1100] qlogei               hartmann6    seed=24  rows=12 (14.6m, eta 44m)
[ 275/1100] doe                  hartmann6    seed=24  rows=12 (14.6m, eta 44m)
[ 276/1100] spade_cf_m0          hartmann6    seed=25  rows=12 (14.6m, eta 44m)
[ 277/1100] spade_cf_m4          hartmann6    seed=25  rows=12 (14.7m, eta 44m)
[ 278/1100] spade_cf_m8          hartmann6    seed=25  rows=12 (14.7m, eta 44m)
[ 279/1100] spade_plate1_only    hartmann6    seed=25  rows=12 (14.7m, eta 43m)
[ 280/1100] spade_random_plate2  hartmann6    seed=25  rows=12 (14.8m, eta 43m)
[ 281/1100] sobol                hartmann6    seed=25  rows=12 (14.8m, eta 43m)
[ 282/1100] lhs                  hartmann6    seed=25  rows=12 (14.9m, eta 43m)
[ 283/1100] random               hartmann6    seed=25  rows=12 (14.9m, eta 43m)
[ 284/1100] qlognei              hartmann6    seed=25  rows=12 (15.1m, eta 43m)
[ 285/1100] qlogei               hartmann6    seed=25  rows=12 (15.3m, eta 44m)
[ 286/1100] doe                  hartmann6    seed=25  rows=12 (15.3m, eta 44m)
[ 287/1100] spade_cf_m0          hartmann6    seed=26  rows=12 (15.3m, eta 43m)
[ 288/1100] spade_cf_m4          hartmann6    seed=26  rows=12 (15.4m, eta 43m)
[ 289/1100] spade_cf_m8          hartmann6    seed=26  rows=12 (15.4m, eta 43m)
[ 290/1100] spade_plate1_only    hartmann6    seed=26  rows=12 (15.4m, eta 43m)
[ 291/1100] spade_random_plate2  hartmann6    seed=26  rows=12 (15.5m, eta 43m)
[ 292/1100] sobol                hartmann6    seed=26  rows=12 (15.5m, eta 43m)
[ 293/1100] lhs                  hartmann6    seed=26  rows=12 (15.5m, eta 43m)
[ 294/1100] random               hartmann6    seed=26  rows=12 (15.5m, eta 43m)
[ 295/1100] qlognei              hartmann6    seed=26  rows=12 (15.7m, eta 43m)
[ 296/1100] qlogei               hartmann6    seed=26  rows=12 (15.8m, eta 43m)
[ 297/1100] doe                  hartmann6    seed=26  rows=12 (15.9m, eta 43m)
[ 298/1100] spade_cf_m0          hartmann6    seed=27  rows=12 (15.9m, eta 43m)
[ 299/1100] spade_cf_m4          hartmann6    seed=27  rows=12 (15.9m, eta 43m)
[ 300/1100] spade_cf_m8          hartmann6    seed=27  rows=12 (16.0m, eta 43m)
[ 301/1100] spade_plate1_only    hartmann6    seed=27  rows=12 (16.0m, eta 42m)
[ 302/1100] spade_random_plate2  hartmann6    seed=27  rows=12 (16.0m, eta 42m)
[ 303/1100] sobol                hartmann6    seed=27  rows=12 (16.0m, eta 42m)
[ 304/1100] lhs                  hartmann6    seed=27  rows=12 (16.0m, eta 42m)
[ 305/1100] random               hartmann6    seed=27  rows=12 (16.1m, eta 42m)
[ 306/1100] qlognei              hartmann6    seed=27  rows=12 (16.2m, eta 42m)
[ 307/1100] qlogei               hartmann6    seed=27  rows=12 (16.4m, eta 42m)
[ 308/1100] doe                  hartmann6    seed=27  rows=12 (16.4m, eta 42m)/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)
/Users/jy/BO/nutrigene-ai-bo-ipsec/.venv/lib/python3.11/site-packages/botorch/optim/optimize.py:844: RuntimeWarning: Optimization failed in `gen_candidates_scipy` with the following warning(s):
[NumericalWarning('A not p.d., added jitter of 1.0e-08 to the diagonal'), OptimizationWarning('Optimization failed within `scipy.optimize.minimize` with status 2 and message ABNORMAL: .')]
Trying again with a new set of initial conditions.
  return _optimize_acqf_batch(opt_inputs=opt_inputs)

[ 309/1100] spade_cf_m0          hartmann6    seed=28  rows=12 (16.4m, eta 42m)
