spade-final-2026-08-23 · S2 · levy d=6 sigma=0.25 · tier=secondary
1 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
[  76/100] doe_unscreened       levy         seed=75  rows=12 (5.1m, eta 2m)
[  77/100] doe_unscreened       levy         seed=76  rows=12 (5.1m, eta 2m)
[  78/100] doe_unscreened       levy         seed=77  rows=12 (5.2m, eta 1m)
[  79/100] doe_unscreened       levy         seed=78  rows=12 (5.2m, eta 1m)
[  80/100] doe_unscreened       levy         seed=79  rows=12 (5.3m, eta 1m)
[  81/100] doe_unscreened       levy         seed=80  rows=12 (5.4m, eta 1m)
[  82/100] doe_unscreened       levy         seed=81  rows=12 (5.4m, eta 1m)
[  83/100] doe_unscreened       levy         seed=82  rows=12 (5.5m, eta 1m)
[  84/100] doe_unscreened       levy         seed=83  rows=12 (5.5m, eta 1m)
[  85/100] doe_unscreened       levy         seed=84  rows=12 (5.6m, eta 1m)
[  86/100] doe_unscreened       levy         seed=85  rows=12 (5.7m, eta 1m)
[  87/100] doe_unscreened       levy         seed=86  rows=12 (5.7m, eta 1m)
[  88/100] doe_unscreened       levy         seed=87  rows=12 (5.8m, eta 1m)
[  89/100] doe_unscreened       levy         seed=88  rows=12 (5.9m, eta 1m)
[  90/100] doe_unscreened       levy         seed=89  rows=12 (5.9m, eta 1m)
[  91/100] doe_unscreened       levy         seed=90  rows=12 (6.0m, eta 1m)
[  92/100] doe_unscreened       levy         seed=91  rows=12 (6.1m, eta 1m)
[  93/100] doe_unscreened       levy         seed=92  rows=12 (6.1m, eta 0m)
[  94/100] doe_unscreened       levy         seed=93  rows=12 (6.2m, eta 0m)
[  95/100] doe_unscreened       levy         seed=94  rows=12 (6.2m, eta 0m)
[  96/100] doe_unscreened       levy         seed=95  rows=12 (6.3m, eta 0m)
[  97/100] doe_unscreened       levy         seed=96  rows=12 (6.4m, eta 0m)
[  98/100] doe_unscreened       levy         seed=97  rows=12 (6.4m, eta 0m)
[  99/100] doe_unscreened       levy         seed=98  rows=12 (6.5m, eta 0m)
[ 100/100] doe_unscreened       levy         seed=99  rows=12 (6.5m, eta 0m)

wrote final-spade-s2.json · 14400 rows
