spade-final-2026-08-23 · S1 · ackley d=6 sigma=0.25 · tier=secondary
1 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'EXCEPTION', 0.25: 'EXCEPTION'}
[  74/100] doe_unscreened       ackley       seed=73  rows=12 (8.8m, eta 3m)
[  75/100] doe_unscreened       ackley       seed=74  rows=12 (8.9m, eta 3m)
[  76/100] doe_unscreened       ackley       seed=75  rows=12 (9.0m, eta 3m)
[  77/100] doe_unscreened       ackley       seed=76  rows=12 (9.1m, eta 3m)
[  78/100] doe_unscreened       ackley       seed=77  rows=12 (9.3m, eta 3m)
[  79/100] doe_unscreened       ackley       seed=78  rows=12 (9.4m, eta 2m)
[  80/100] doe_unscreened       ackley       seed=79  rows=12 (9.5m, eta 2m)
[  81/100] doe_unscreened       ackley       seed=80  rows=12 (9.6m, eta 2m)
[  82/100] doe_unscreened       ackley       seed=81  rows=12 (9.8m, eta 2m)
[  83/100] doe_unscreened       ackley       seed=82  rows=12 (10.1m, eta 2m)
[  84/100] doe_unscreened       ackley       seed=83  rows=12 (10.3m, eta 2m)
[  85/100] doe_unscreened       ackley       seed=84  rows=12 (10.4m, eta 2m)
[  86/100] doe_unscreened       ackley       seed=85  rows=12 (10.5m, eta 2m)
[  87/100] doe_unscreened       ackley       seed=86  rows=12 (10.6m, eta 2m)
[  88/100] doe_unscreened       ackley       seed=87  rows=12 (10.8m, eta 1m)
[  89/100] doe_unscreened       ackley       seed=88  rows=12 (10.9m, eta 1m)
[  90/100] doe_unscreened       ackley       seed=89  rows=12 (11.0m, eta 1m)
[  91/100] doe_unscreened       ackley       seed=90  rows=12 (11.1m, eta 1m)
[  92/100] doe_unscreened       ackley       seed=91  rows=12 (11.2m, eta 1m)
[  93/100] doe_unscreened       ackley       seed=92  rows=12 (11.3m, eta 1m)
[  94/100] doe_unscreened       ackley       seed=93  rows=12 (11.4m, eta 1m)
[  95/100] doe_unscreened       ackley       seed=94  rows=12 (11.5m, eta 1m)
[  96/100] doe_unscreened       ackley       seed=95  rows=12 (11.7m, eta 0m)
[  97/100] doe_unscreened       ackley       seed=96  rows=12 (11.8m, eta 0m)
[  98/100] doe_unscreened       ackley       seed=97  rows=12 (11.9m, eta 0m)
[  99/100] doe_unscreened       ackley       seed=98  rows=12 (12.1m, eta 0m)
[ 100/100] doe_unscreened       ackley       seed=99  rows=12 (12.2m, eta 0m)

wrote final-spade-s1.json · 14400 rows
