spade-final-2026-08-23 · C3 · hartmann6 d=6 sigma=0.25 · tier=primary
1 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'ROBUSTNESS'}
[  71/100] doe_unscreened       hartmann6    seed=70  rows=12 (3.6m, eta 1m)
[  72/100] doe_unscreened       hartmann6    seed=71  rows=12 (3.7m, eta 1m)
[  73/100] doe_unscreened       hartmann6    seed=72  rows=12 (3.8m, eta 1m)
[  74/100] doe_unscreened       hartmann6    seed=73  rows=12 (3.8m, eta 1m)
[  75/100] doe_unscreened       hartmann6    seed=74  rows=12 (3.9m, eta 1m)
[  76/100] doe_unscreened       hartmann6    seed=75  rows=12 (4.0m, eta 1m)
[  77/100] doe_unscreened       hartmann6    seed=76  rows=12 (4.0m, eta 1m)
[  78/100] doe_unscreened       hartmann6    seed=77  rows=12 (4.1m, eta 1m)
[  79/100] doe_unscreened       hartmann6    seed=78  rows=12 (4.1m, eta 1m)
[  80/100] doe_unscreened       hartmann6    seed=79  rows=12 (4.2m, eta 1m)
[  81/100] doe_unscreened       hartmann6    seed=80  rows=12 (4.2m, eta 1m)
[  82/100] doe_unscreened       hartmann6    seed=81  rows=12 (4.3m, eta 1m)
[  83/100] doe_unscreened       hartmann6    seed=82  rows=12 (4.3m, eta 1m)
[  84/100] doe_unscreened       hartmann6    seed=83  rows=12 (4.4m, eta 1m)
[  85/100] doe_unscreened       hartmann6    seed=84  rows=12 (4.4m, eta 1m)
[  86/100] doe_unscreened       hartmann6    seed=85  rows=12 (4.5m, eta 1m)
[  87/100] doe_unscreened       hartmann6    seed=86  rows=12 (4.5m, eta 1m)
[  88/100] doe_unscreened       hartmann6    seed=87  rows=12 (4.6m, eta 1m)
[  89/100] doe_unscreened       hartmann6    seed=88  rows=12 (4.6m, eta 1m)
[  90/100] doe_unscreened       hartmann6    seed=89  rows=12 (4.7m, eta 1m)
[  91/100] doe_unscreened       hartmann6    seed=90  rows=12 (4.7m, eta 0m)
[  92/100] doe_unscreened       hartmann6    seed=91  rows=12 (4.8m, eta 0m)
[  93/100] doe_unscreened       hartmann6    seed=92  rows=12 (4.8m, eta 0m)
[  94/100] doe_unscreened       hartmann6    seed=93  rows=12 (4.9m, eta 0m)
[  95/100] doe_unscreened       hartmann6    seed=94  rows=12 (4.9m, eta 0m)
[  96/100] doe_unscreened       hartmann6    seed=95  rows=12 (5.0m, eta 0m)
[  97/100] doe_unscreened       hartmann6    seed=96  rows=12 (5.0m, eta 0m)
[  98/100] doe_unscreened       hartmann6    seed=97  rows=12 (5.0m, eta 0m)
[  99/100] doe_unscreened       hartmann6    seed=98  rows=12 (5.1m, eta 0m)
[ 100/100] doe_unscreened       hartmann6    seed=99  rows=12 (5.1m, eta 0m)

wrote final-spade-c3.json · 14400 rows
