baseline_path,file_type,first_commit,latest_meaningful_commit,research_era,scientific_question,evidence_level,manuscript_claim,reproduction_role,dependencies,supersession_status,classification,destination,rationale
data/lab/derived/RUN.json,json,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,184c5abf5e532b1c52a411793ff6f1a911330ff8,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/derived/candidate_campaign_coating_flow.csv,csv,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/derived/candidate_campaign_coating_morphology.csv,csv,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/derived/channel_identity.json,json,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/derived/file_index.csv,csv,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/derived/flow_acquisitions.csv,csv,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/derived/flow_positivity_candidate.csv,csv,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/derived/image_features.csv,csv,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/derived/plate_reader.json,json,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/derived/protocol_wellmap.csv,csv,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,f28ba66fd7f678c3e02d71912ee588de7c7bc9e1,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/overlay/BO-PURPOSE.md,md,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/overlay/GATE.md,md,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/overlay/MANIFEST.sha256,sha256,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/overlay/bo_file_roles.csv,csv,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/overlay/bo_primary_conditions.csv,csv,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/10%FBS-p1.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/10fbs-p2.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/20260721.xit,xit,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/EGM-3D-p0.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/ExpSummaryForAPI.xml,xml,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/N2-3D-P0.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/T75-p1.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/US.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/ec indu-p1.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/ec indu-p2.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/egm-3d-p1.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/n2-3d-p1.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/stem-p1.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/stem-p2.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/sunny-p3-1.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/sunny-p3.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/us-2.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-21/us-23.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-28/Exp_20260728_1.xit,xit,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-28/Exp_20260728_1/BEFORE2.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-28/Exp_20260728_1/Before.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-28/Exp_20260728_1/CD31+.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-28/Exp_20260728_1/CD31+P3.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-28/Exp_20260728_1/CD31-.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-28/Exp_20260728_1/ExpSummaryForAPI.xml,xml,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-28/Exp_20260728_1/ISO.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-07-28/Exp_20260728_1/US.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-08-06/Exp_20260806_1.xit,xit,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-08-06/Exp_20260806_1/3-1.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-08-06/Exp_20260806_1/ExpSummaryForAPI.xml,xml,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-08-06/Exp_20260806_1/US-new.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-08-06/Exp_20260806_1/US-old.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-08-06/Exp_20260806_1/well 1.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-08-06/Exp_20260806_1/well 2.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-08-06/Exp_20260806_1/well 3.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-08-06/Exp_20260806_1/well 4.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
data/lab/raw/flow/2026-08-06/Exp_20260806_1/well 5.fcs,fcs,547b64115d88be576cae076a24feeda960d677f0,547b64115d88be576cae076a24feeda960d677f0,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
