commit,date,subject,research_era,purpose,important_files,conclusion_status,superseding_commit,paper_relevance,audit_notes
98b265037a20e3f70fea0ff0d492e189d98e1b81,2026-08-28,docs: note floor-1.5 gate FAIL and meanmarg cutover,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
31cd02f6ee96efb00ca081d47ca9fc0019b3d3b7,2026-08-28,docs: record floor-1.5 gate FAIL; start meanmarg recovery digest,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
e5a65905753e3dd6910dd8d35b496547c974ac05,2026-08-28,RETRACT section 6.4: the finite-set estimand buys nothing on real data,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
1bb9bc861af4b6f6609773c1d65a4bee82edad90,2026-08-28,Run the fully-corrected SPADE on both real datasets,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
11e041c493e2edbc5fb7b4d74b34e4a532639c95,2026-08-28,KY RESULT: hyperparameter mixing does NOT break the saturation,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
60f32bb7ad034b3f9a208df1106fe0aa2608b097,2026-08-27,"Commit the data behind the doc, and put the numbers back in it",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
2525395864c172285be7a613a25976206127fd32,2026-08-27,Rewrite the state-of-the-method doc in plain English,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
b40c48ac8b6bff85c8e9da0f8f81d67487557f31,2026-08-27,"State-of-the-method doc: what changed, what is new, what SPADE lacks",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
dd2fb144290ecab6dbd751e00dc6a4bce9c8d5a0,2026-08-27,chore: ignore watchdog-quarantined wrong-digest shards,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
c8b9c82d48427bc68e8be1aaba88b9cc533930b4,2026-08-27,KZ RESULT: the region certificate is VACUOUS at real cell-manufacturing noise,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
a3b8647c195ed856bccbae7c36faec648fe3a11e,2026-08-27,Pre-register KZ: does plate-2 targeting survive REAL cell-manufacturing noise?,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
d6652e01077c5ca18dfb802e8f09a75fd06cf196,2026-08-27,Certify the PUBLISHED Hall/Ogle iPSC-EC ECM data -- the collapse defect replicates,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
7cd3bcf35e39c7e145a8248e506cad77b2327f2c,2026-08-27,feat(spade): wire Joseph mean-marginalisation into manufacturing recovery,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
94775ae8d67f254656fb3ade63a912dd6ab89154,2026-08-27,Pre-register KY and add boec.hypermix: attack the bias inflation cannot reach,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
5235f5541ba7a910ec3c09eefa06051edf5d5970,2026-08-27,merge: integrate kr-effective-resolution (Joseph) with manufacturing recovery,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
aa012032ed34e85681da8d253e4ebcb642d6af59,2026-08-27,"FIX open item 3: calibrate c on the real assay by LOO, no new experiments",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
665e4f094c5d965ba6b3012702e2bfcb7857b063,2026-08-27,"Measure the meanmarg defect in BOTH directions: 1% on benchmarks, 484x on real cells",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
e8150426874165b8382763671fde57d4854d4993,2026-08-27,fix: register LOO-tail inflation floor c=1.5 for SPADE certificates,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
0e36593e9c567413b30a9c996e3309d2bdd4aad3,2026-08-27,Widen the real-data threshold sweep downward,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
10e6f55ccaa3e708736955c13173ede75eece746,2026-08-27,Record the real iPSC-EC certification result and its limits,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
a261b0ac8e2aea3e8f4a5f2b0312bb8517cab902,2026-08-27,Fix posterior collapse on noise-dominated data; caught on the real iPSC-EC cells,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
f7f03beaf9f7edb38e35e438ace15e8c1bdf7e6c,2026-08-27,"KT-7 RESULT: 7a FAILS, and the failure explains the open question",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
b78eaa21e4f08ace6960cc52ad9e055b3f9bdc8e,2026-08-27,Document the selection effect in certified_topk before it reaches a paper,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
fa6bb872cb032537b45c64dee5f83e2bb6c275aa,2026-08-27,ERRATUM section 7: the published 0.9377 bound pools SPADE with its own controls,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
a22f6bc0a8ed0156121de97fa1ce83935c06e994,2026-08-27,"Amend KX before reading any result: narrow grid, 30 seeds, add finite-set estimand",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
bf4845bb462252829dec3edab55eb1e845b7fdba,2026-08-27,"Add finite-set certification: certify formulations, not a region",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
f4344af03871dc1fca7a8ec74d54dad57815a2ff,2026-08-27,"KX runner + analyser, and KT-7 analyser, all written before their data",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
08b9650d630c488a78e655f9459b3c2ca1ed9278,2026-08-27,Pre-register KX: SPADE vs all comparators at matched calibration,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
9f90ee3cb1e61f63cd12bb1cd264f56d2533ecaf,2026-08-27,RETRACT section 9: the SNR explanation does not survive expansion,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
0f9dcd46bd43cdd3c27ff4f17dca9695b1472680,2026-08-27,"Answer why some families certify and others cannot -- it is the noise model, not the landscape",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
4ece249b830493918364d6428ba2366a8957e0ca,2026-08-27,Register KT-7 before its run: the alpha-generality test and a named hard limit,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
bdd6ec79e8174c1c865b60fab83bfde3b8d8d8f5,2026-08-27,fix: LOO tail inflation for SPADE manufacturing certificates,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
5ff42cba56f5296d8eb0d217d9883e0a88141b62,2026-08-27,"Corrections to the KW-4 claims, found by stress-testing my own result",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
797add6e4ce3a06f9dc3abc70673b58ec31f3a84,2026-08-27,"KW result: KW-1/KW-2 FAIL, but KW-4 PASSES once inflation supplies the honesty",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
28174eee29c75ef8261e81240ab6a488e24524d9,2026-08-27,KT-5 (Lever B) PASSES: a single dimensionless inflation factor transfers across families,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
1b75d50fa440c77898d5075413cc9a827d2c3b05,2026-08-27,"Bagged certification: intersect certified regions across bootstrap refits, TDD",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
22249963ea95d173734cd158cb5584f230eee267,2026-08-27,Erratum (mine): the gamma loop was 6x redundant in the KW/KT-B runners,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
ed0ccf9ce911e2c70f26131cdcab0d21f57f0a1e,2026-08-27,"KW: selection-blind covariance, TDD, plus its runner",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
09275d7f2c4ab78a7d323ef1c876ae8e8f0d6f8b,2026-08-27,Freeze SPADE-SELECTION-BLIND-SPEC.md (KW) before any KW result exists,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
de46417e2b58987f338ec429fc37f3be390d129c,2026-08-27,"KV result: KV-1 FAILS, the post-hoc finding did NOT replicate, KV-6 fires",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
291935b9065406517ebf1f30248bb9569931e893,2026-08-27,"KV amendment 4a: degenerate-fit exclusion, on a mathematical identity, before any gate was read",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
8ba4472b82c1179a568d4f4f6ad5777cedff6627,2026-08-27,"KU result: KU-1 PASSES pooled, KU-2 FAILS, and an incidental finding larger than both",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
b951d389c33c0a2040efddb9964a9590f9dc8be4,2026-08-27,"KU analyser, written before KU's data exists",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
fb0bb299964a237fb84a65c0b922d84041189898,2026-08-27,"KV analyser, written before KV's data exists",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
25d4ac8550f98fee5d8f144a22bea279e674896f,2026-08-27,"KV runner: add the map-error column KV-4 gates on, before the real run",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
2aff39d46f79999a9ee48fb2c93c7d22e2c891d6,2026-08-27,KV 7a: scope fixed before the run from the firewalled pilot,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
d9f371ed85895ae97d66206cda270f88c5c579fe,2026-08-27,"KV arm: _two_plate mode='cert', plus a guard for a live silent-fallthrough defect",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
0bb34725366022abad01d9309b4accead0b646b3,2026-08-27,"KU erratum 5c: pilot cost estimate wrong by ~5x, recorded before the result",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
e6f02757d218056fd006913f4f22ac34c33bfa49,2026-08-26,"chore: harden LOO+Vmax recovery with tests, docs, and durable watchdog",UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
ede920ea02f1fa4757a85b09fc30a68359f09637,2026-08-26,fix: LOO latent inflation and volume cap for SPADE certificates,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED
